,config_id,idx,origin_Li,origin_EC,origin_DMC,origin_VC,origin_PF6,rxn_EC,rxn_DMC,rxn_VC,rxn_PF6,rdc_EC,rdc_DMC,rdc_VC,rdc_PF6,rxn,rdc,rxn_wt_pid,rdc_wt_pid,rxn_changed_bonds
10,0x30c4c1a4d6383425,-1,8,10,10,2,1,4,0,0,0,0,0,0,0,"{'EC_2 => C2H4+CO3', 'EC_0+EC_7 => C3O3H4C3O3H4', 'EC_3 => C2H4+CO3'}",set(),"{'EC_2 => sg1-C2H4+sg2-CO3', 'EC_0+EC_7 => sg0-C3O3H4C3O3H4', 'EC_3 => sg3-C2H4+sg4-CO3'}",set(),"{((('C28', 'O32'), (1.6051, 3.148), (('C28@EC_2', 'O32@EC_2'), ('C28@frame(-1)-sg1-C2H4', 'O32@frame(-1)-sg2-CO3'))), (('C29', 'O31'), (1.6057, 4.0613), (('C29@EC_2', 'O31@EC_2'), ('C29@frame(-1)-sg1-C2H4', 'O31@frame(-1)-sg2-CO3')))), ((('C10', 'C80'), (11.2151, 12.7902), (('C10@EC_0', 'C80@EC_7'), ('C10@frame(-1)-sg0-C3O3H4C3O3H4', 'C80@frame(-1)-sg0-C3O3H4C3O3H4'))),), ((('C38', 'O42'), (1.6076, 4.1034), (('C38@EC_3', 'O42@EC_3'), ('C38@frame(-1)-sg3-C2H4', 'O42@frame(-1)-sg4-CO3'))), (('C39', 'O41'), (1.6061, 3.1232), (('C39@EC_3', 'O41@EC_3'), ('C39@frame(-1)-sg3-C2H4', 'O41@frame(-1)-sg4-CO3'))))}"
11,0x30f5068cecb419cd,-1,3,10,10,3,1,0,0,0,0,0,1,0,0,set(),{'DMC_8 => C3O3H6_reduction'},set(),{'DMC_8 => sg0-C3O3H6_reduction'},set()
12,0x33f1ca76de72e83f,-1,8,10,10,2,2,1,1,0,1,0,0,0,0,"{'DMC_6 => CH3+CO+CO2H3', 'EC_5 => C2H4+CO3', 'PF6_1 => F+F+F+PF3'}",set(),"{'PF6_1 => sg5-PF3+sg6-F+sg7-F+sg8-F', 'DMC_6 => sg2-CO+sg3-CO2H3+sg4-CH3', 'EC_5 => sg0-C2H4+sg1-CO3'}",set(),"{((('C58', 'O62'), (1.6078, 3.5646), (('C58@EC_5', 'O62@EC_5'), ('C58@frame(-1)-sg0-C2H4', 'O62@frame(-1)-sg1-CO3'))), (('C59', 'O61'), (1.6063, 3.3522), (('C59@EC_5', 'O61@EC_5'), ('C59@frame(-1)-sg0-C2H4', 'O61@frame(-1)-sg1-CO3')))), ((('C180', 'O184'), (1.3643, 3.3334), (('C180@DMC_6', 'O184@DMC_6'), ('C180@frame(-1)-sg2-CO', 'O184@frame(-1)-sg3-CO2H3'))), (('C180', 'O185'), (1.3658, 3.6859), (('C180@DMC_6', 'O185@DMC_6'), ('C180@frame(-1)-sg2-CO', 'O185@frame(-1)-sg3-CO2H3'))), (('C182', 'O184'), (1.4294, 3.6129), (('C182@DMC_6', 'O184@DMC_6'), ('C182@frame(-1)-sg4-CH3', 'O184@frame(-1)-sg3-CO2H3'))), (('O184', 'O185'), (2.1871, 1.4861), (('O184@DMC_6', 'O185@DMC_6'), ('O184@frame(-1)-sg3-CO2H3', 'O185@frame(-1)-sg3-CO2H3')))), ((('P251', 'F252'), (1.6327, 1.9835), (('P251@PF6_1', 'F252@PF6_1'), ('P251@frame(-1)-sg5-PF3', 'F252@frame(-1)-sg6-F'))), (('P251', 'F255'), (1.6329, 2.6393), (('P251@PF6_1', 'F255@PF6_1'), ('P251@frame(-1)-sg5-PF3', 'F255@frame(-1)-sg8-F'))), (('P251', 'F253'), (1.631, 3.1422), (('P251@PF6_1', 'F253@PF6_1'), ('P251@frame(-1)-sg5-PF3', 'F253@frame(-1)-sg7-F'))))}"
13,0x3dc6a01c0f24aa61,-1,3,10,10,1,2,1,0,1,0,0,0,0,0,{'EC_7+VC_0 => C3O3H4C3O3H2'},set(),{'EC_7+VC_0 => sg0-C3O3H4C3O3H2'},set(),"{((('C75', 'C223'), (10.9212, 12.5433), (('C75@EC_7', 'C223@VC_0'), ('C75@frame(-1)-sg0-C3O3H4C3O3H2', 'C223@frame(-1)-sg0-C3O3H4C3O3H2'))),)}"
14,0x45a003bb199fa1d8,-1,7,10,10,1,1,2,1,0,0,0,0,0,0,"{'EC_8 => C3O3H4', 'DMC_4 => CO+COH3+COH3', 'EC_6 => C3O3H4'}",set(),"{'EC_8 => sg1-C3O3H4', 'EC_6 => sg0-C3O3H4', 'DMC_4 => sg2-CO+sg3-COH3+sg4-COH3'}",set(),"{((('C155', 'O160'), (1.3683, 3.4777), (('C155@DMC_4', 'O160@DMC_4'), ('C155@frame(-1)-sg2-CO', 'O160@frame(-1)-sg3-COH3'))), (('C155', 'O159'), (1.3647, 2.3003), (('C155@DMC_4', 'O159@DMC_4'), ('C155@frame(-1)-sg2-CO', 'O159@frame(-1)-sg4-COH3')))), ((('C69', 'O71'), (1.5193, 4.0156), (('C69@EC_6', 'O71@EC_6'), ('C69@frame(-1)-sg0-C3O3H4', 'O71@frame(-1)-sg0-C3O3H4'))),), ((('C89', 'O90'), (1.5174, 3.1018), (('C89@EC_8', 'O90@EC_8'), ('C89@frame(-1)-sg1-C3O3H4', 'O90@frame(-1)-sg1-C3O3H4'))),)}"
15,0x48d9fe654b0fc656,-1,7,10,10,1,1,3,0,0,0,0,0,0,0,"{'EC_5 => C2H4+CO3', 'EC_7 => C2H4+CO3', 'EC_6 => C2H4+CO3'}",set(),"{'EC_7 => sg4-C2H4+sg5-CO3', 'EC_6 => sg2-C2H4+sg3-CO3', 'EC_5 => sg0-C2H4+sg1-CO3'}",set(),"{((('C67', 'O71'), (1.6059, 3.3545), (('C67@EC_6', 'O71@EC_6'), ('C67@frame(-1)-sg2-C2H4', 'O71@frame(-1)-sg3-CO3'))), (('C68', 'O70'), (1.6082, 3.2036), (('C68@EC_6', 'O70@EC_6'), ('C68@frame(-1)-sg2-C2H4', 'O70@frame(-1)-sg3-CO3')))), ((('C77', 'O81'), (1.605, 3.3407), (('C77@EC_7', 'O81@EC_7'), ('C77@frame(-1)-sg4-C2H4', 'O81@frame(-1)-sg5-CO3'))), (('C78', 'O80'), (1.6077, 3.9563), (('C78@EC_7', 'O80@EC_7'), ('C78@frame(-1)-sg4-C2H4', 'O80@frame(-1)-sg5-CO3')))), ((('C57', 'O61'), (1.6092, 4.2325), (('C57@EC_5', 'O61@EC_5'), ('C57@frame(-1)-sg0-C2H4', 'O61@frame(-1)-sg1-CO3'))), (('C58', 'O60'), (1.6068, 3.2018), (('C58@EC_5', 'O60@EC_5'), ('C58@frame(-1)-sg0-C2H4', 'O60@frame(-1)-sg1-CO3'))))}"
16,0x4b5350e16098f8d8,-1,8,10,10,1,2,2,0,0,1,0,0,0,0,"{'EC_2 => C2H4+CO3', 'EC_3 => C2H4+CO3', 'PF6_1 => F+F+PF4'}",set(),"{'PF6_1 => sg4-PF4+sg5-F+sg6-F', 'EC_3 => sg2-C2H4+sg3-CO3', 'EC_2 => sg0-C2H4+sg1-CO3'}",set(),"{((('C38', 'O42'), (1.6039, 3.1142), (('C38@EC_3', 'O42@EC_3'), ('C38@frame(-1)-sg2-C2H4', 'O42@frame(-1)-sg3-CO3'))), (('C39', 'O41'), (1.6063, 3.2617), (('C39@EC_3', 'O41@EC_3'), ('C39@frame(-1)-sg2-C2H4', 'O41@frame(-1)-sg3-CO3')))), ((('C28', 'O32'), (1.6081, 4.0306), (('C28@EC_2', 'O32@EC_2'), ('C28@frame(-1)-sg0-C2H4', 'O32@frame(-1)-sg1-CO3'))), (('C29', 'O31'), (1.6073, 3.3396), (('C29@EC_2', 'O31@EC_2'), ('C29@frame(-1)-sg0-C2H4', 'O31@frame(-1)-sg1-CO3')))), ((('P243', 'F248'), (1.6323, 3.3979), (('P243@PF6_1', 'F248@PF6_1'), ('P243@frame(-1)-sg4-PF4', 'F248@frame(-1)-sg6-F'))), (('P243', 'F246'), (1.6343, 2.8959), (('P243@PF6_1', 'F246@PF6_1'), ('P243@frame(-1)-sg4-PF4', 'F246@frame(-1)-sg5-F'))))}"
17,0x4e525ca8ad6044a5,-1,2,10,10,2,1,0,0,0,0,0,0,0,0,set(),set(),set(),set(),set()
18,0x50f6c39c827a3246,-1,8,10,10,2,2,3,0,0,0,0,0,0,0,"{'EC_1 => C2H4+CO3', 'EC_0 => C2H4+CO3', 'EC_4 => C2H4+CO3'}",set(),"{'EC_0 => sg0-C2H4+sg1-CO3', 'EC_1 => sg2-C2H4+sg3-CO3', 'EC_4 => sg4-C2H4+sg5-CO3'}",set(),"{((('C18', 'O22'), (1.6068, 3.5174), (('C18@EC_1', 'O22@EC_1'), ('C18@frame(-1)-sg2-C2H4', 'O22@frame(-1)-sg3-CO3'))), (('C19', 'O21'), (1.6066, 3.0751), (('C19@EC_1', 'O21@EC_1'), ('C19@frame(-1)-sg2-C2H4', 'O21@frame(-1)-sg3-CO3')))), ((('C8', 'O12'), (1.6057, 3.5377), (('C8@EC_0', 'O12@EC_0'), ('C8@frame(-1)-sg0-C2H4', 'O12@frame(-1)-sg1-CO3'))), (('C9', 'O11'), (1.6043, 3.1366), (('C9@EC_0', 'O11@EC_0'), ('C9@frame(-1)-sg0-C2H4', 'O11@frame(-1)-sg1-CO3')))), ((('C48', 'O52'), (1.6073, 4.2646), (('C48@EC_4', 'O52@EC_4'), ('C48@frame(-1)-sg4-C2H4', 'O52@frame(-1)-sg5-CO3'))), (('C49', 'O51'), (1.6073, 3.1777), (('C49@EC_4', 'O51@EC_4'), ('C49@frame(-1)-sg4-C2H4', 'O51@frame(-1)-sg5-CO3'))))}"
19,0x54c710aa37e92ddf,-1,7,10,10,1,1,2,0,0,1,0,0,0,0,"{'EC_8 => C2H4+CO3', 'PF6_0 => F+F+PF4', 'EC_2 => C2H4+CO3'}",set(),"{'EC_8 => sg2-C2H4+sg3-CO3', 'EC_2 => sg0-C2H4+sg1-CO3', 'PF6_0 => sg4-PF4+sg5-F+sg6-F'}",set(),"{((('P235', 'F240'), (1.6336, 3.8513), (('P235@PF6_0', 'F240@PF6_0'), ('P235@frame(-1)-sg4-PF4', 'F240@frame(-1)-sg5-F'))), (('P235', 'F241'), (1.6357, 4.0258), (('P235@PF6_0', 'F241@PF6_0'), ('P235@frame(-1)-sg4-PF4', 'F241@frame(-1)-sg6-F')))), ((('C87', 'O91'), (1.607, 3.8538), (('C87@EC_8', 'O91@EC_8'), ('C87@frame(-1)-sg2-C2H4', 'O91@frame(-1)-sg3-CO3'))), (('C88', 'O90'), (1.6074, 3.6361), (('C88@EC_8', 'O90@EC_8'), ('C88@frame(-1)-sg2-C2H4', 'O90@frame(-1)-sg3-CO3')))), ((('C27', 'O31'), (1.607, 3.1793), (('C27@EC_2', 'O31@EC_2'), ('C27@frame(-1)-sg0-C2H4', 'O31@frame(-1)-sg1-CO3'))), (('C28', 'O30'), (1.6066, 3.4718), (('C28@EC_2', 'O30@EC_2'), ('C28@frame(-1)-sg0-C2H4', 'O30@frame(-1)-sg1-CO3'))))}"
